Time,4G,Bands,Bars,Cell ID(CID),eNBID,Reference Signal Received Power(RSRP),Reference Signal Received Quality(RSRQ),Received Signal Strength Indicator(RSSI),Signal to Interference & Noise Ratio(SINR),,5G,Bands,Bars,Cell ID(CID),gNBID,Reference Signal Received Power(RSRP),Reference Signal Received Quality(RSRQ),Received Signal Strength Indicator(RSSI),Signal to Interference & Noise Ratio(SINR)
,,,,,,,,,,,,,,,,,,,
18:50:09,,(b2),5,8,,-83,-12,-71,16,,,(n41),4,0,,-87,-4,-82,15
,,,,,,,,,,,,,,,,,,,
18:50:17,,(b2),5,8,,-83,-12,-71,15,,,(n41),4,0,,-87,-5,-79,15
,,,,,,,,,,,,,,,,,,,
18:55:17,,(b2),5,8,,-82,-11,-71,17,,,(n41),4,0,,-87,-3,-83,14
,,,,,,,,,,,,,,,,,,,
19:00:17,,(b2),5,8,,-82,-12,-70,13,,,(n41),4,0,,-88,-5,-85,16
,,,,,,,,,,,,,,,,,,,
19:05:17,,(b2),5,8,,-82,-11,-71,17,,,(n41),4,0,,-86,-4,-84,18
,,,,,,,,,,,,,,,,,,,
19:10:17,,(b2),5,8,,-82,-11,-71,17,,,(n41),4,0,,-87,-4,-82,13
,,,,,,,,,,,,,,,,,,,
19:15:17,,(b2),5,8,,-81,-12,-69,16,,,(n41),4,0,,-86,-3,-83,15
,,,,,,,,,,,,,,,,,,,
19:20:17,,(b2),5,8,,-82,-10,-72,17,,,(n41),4,0,,-86,-9,-80,15
,,,,,,,,,,,,,,,,,,,
19:25:17,,(b2),5,8,,-82,-11,-71,12,,,(n41),4,0,,-87,-3,-85,14
,,,,,,,,,,,,,,,,,,,
19:30:17,,(b2),5,8,,-83,-10,-72,18,,,(n41),4,0,,-86,-3,-84,18
,,,,,,,,,,,,,,,,,,,
19:35:17,,(b2),5,8,,-82,-11,-71,18,,,(n41),4,0,,-88,-4,-84,13
,,,,,,,,,,,,,,,,,,,
19:40:18,,(b2),5,8,,-83,-11,-71,18,,,(n41),4,0,,-87,-6,-81,18
,,,,,,,,,,,,,,,,,,,
19:45:18,,(b2),5,8,,-83,-12,-71,16,,,(n41),4,0,,-88,-5,-81,14
,,,,,,,,,,,,,,,,,,,
19:50:18,,(b2),5,8,,-82,-11,-71,19,,,(n41),4,0,,-87,-5,-83,14
,,,,,,,,,,,,,,,,,,,
19:55:18,,(b2),5,8,,-81,-10,-70,17,,,(n41),4,0,,-88,-5,-80,12
,,,,,,,,,,,,,,,,,,,
20:00:18,,(b2),5,8,,-83,-11,-72,12,,,(n41),4,0,,-87,-4,-84,12
,,,,,,,,,,,,,,,,,,,
20:05:18,,(b2),5,8,,-83,-12,-71,16,,,(n41),4,0,,-87,-6,-81,13
,,,,,,,,,,,,,,,,,,,
20:10:18,,(b2),5,8,,-83,-10,-72,17,,,(n41),4,0,,-87,-6,-80,14
,,,,,,,,,,,,,,,,,,,
20:15:18,,(b2),5,8,,-82,-11,-70,15,,,(n41),4,0,,-89,-5,-83,10
,,,,,,,,,,,,,,,,,,,
20:20:18,,(b2),5,8,,-84,-10,-73,17,,,(n41),4,0,,-87,-4,-81,15
,,,,,,,,,,,,,,,,,,,
20:25:18,,(b2),5,8,,-83,-10,-73,14,,,(n41),4,0,,-87,-4,-84,14
,,,,,,,,,,,,,,,,,,,
20:30:18,,(b2),5,8,,-83,-10,-72,12,,,(n41),4,0,,-87,-3,-85,16
,,,,,,,,,,,,,,,,,,,
20:35:18,,(b2),5,8,,-83,-13,-70,15,,,(n41),4,0,,-86,-4,-81,15
